id,type,name,creator,wikidata_url,local_qid
,Book,Ma confession,Léon Tolstoï,,Q6519
,Book,Carnets de Thèse,Tiphaine Rivière,,Q6521
,Book,Ma Mère et Moi,Brahim Metiba,,Q6523
,Book,"Le Trop Grand Vide d'Alphonse
                            Tabouret","Sibylline, Capucine et Jérôme d'Aviau",,Q6525
,Book,"Le Maître de Peinture, Tome
                            1,2,3","Frédéric Richaud, Pierre Makyo, Michel Faure",,Q6527
,Book,"L'Ancien Temps (Tome 1 - Le roi
                            n'embrasse pas)",Joann Sfar,,Q6529
,Book,"La Rubrique Scientifique
                            #1",Boulet,,Q6531
,Book,L'Alchimiste,Paulo Coelho,,Q6533
,Book,Paysans,Raymond Depardon,,Q6534
,Book,Le Château dans le ciel,Hayao Miyazaki,,Q6536
,Book,La chambre claire,Roland Barthes,,Q6538
,Book,"Alice au pays des
                            Merveilles",Lewis Carroll,,Q6540
,Book,Point Cardinal,Léonor de Récondo,,Q6541
,Book,Petit Pays,Gaël Faye,,Q6543
,Book,"40 LGBT+ qui ont changé le
                            monde",Florent Manelli,,Q6545
,Book,"La Bible des Lettres
                            Ornées",Catherine Auguste,,Q6547
,Book,Retour au Collège,Riad Sattouf,,Q6549
,Book,Fils à papa(s),Christophe Beaugrand,,Q6551
,Book,Pédale,Ludovic Piétu & Jika,,Q6553
,Book,Le Génie Lesbien,Alice Coffin,,Q6555
,Book,René·e aux bois dormants,Elene Usdin,,Q6557
,Book,Bartleby le scribe,Jose-Luis Munuera,,Q6559
,Book,Let Them Eat Chaos,Kae Tempest,,Q6561
,Book,Qu'on leur donne le chaos,Kae Tempest,,Q6563
,Book,"Histoire de France au
                            féminin","Sandrine Mirza, Blanche Sabbah",,Q6564
,Book,Prendre la parole,"Benjamin Delmotte, Alice Méteignier",,Q6566
,Book,"Le Mont-Saint-Michel pierre à
                            pierre","Marc Déceneux, Maria-Luisa Levak",,Q6568
,Book,Les âmes du purgatoire,Prosper Mérimée,https://www.wikidata.org/wiki/Q3236486,Q6570
,Book,Dissidanse rose,Antoine Idier,https://www.wikidata.org/wiki/Q130377035,Q6572
,Book,Le Traité du narcisse,André Gide,https://www.wikidata.org/wiki/Q2448460,Q6574
,Book,"Le Retour de l'enfant
                            prodigue",André Gide,https://www.wikidata.org/wiki/Q110495249,Q6576
,Book,Mauvais fils,Raphaële Frier,https://www.wikidata.org/wiki/Q130748405,Q6577
,Book,"La rose donne naissance à une épine et
                            une épine donne naissance à une rose",Soufiane Ababri,https://www.wikidata.org/wiki/Q130755247,Q6579
,Book,"Pureté et impureté de l'art : Michel
                            Journiac et le sida",Antoine Idier,https://www.wikidata.org/wiki/Q130748609,Q6581
,Book,Poussière d'homme,David Lelait-Helo,https://www.wikidata.org/wiki/Q131089233,Q6582
,Book,"Moi, Pierre Seel, déporté
                            homosexuel","Pierre Seel, Jean Le Bitoux",https://www.wikidata.org/wiki/Q130923626,Q6584
,Book,Marqués du triangle rose,Ken Setterington,https://www.wikidata.org/wiki/Q131316215,Q6586
,Book,Animal Farm,George Orwell,https://www.wikidata.org/wiki/Q1396889,Q6588
