id,type,name,wikidata_url,local_qid
,Person,Max Richter,https://www.wikidata.org/wiki/Q714325,Q7418
,Person,Michael Jackson,https://www.wikidata.org/wiki/Q2831,Q7419
,Person,Michel Mejía de Teló,https://www.wikidata.org/wiki/Q488387,Q7420
,Person,Minmini,https://www.wikidata.org/wiki/Q6867888,Q7421
,Person,Mohammed Rafi,https://www.wikidata.org/wiki/Q156815,Q7422
,Person,Mohan Sithara,https://www.wikidata.org/wiki/Q6893606,Q7423
,Person,Mylène Farmer,https://www.wikidata.org/wiki/Q185002,Q7424
,Person,Nakhane,https://www.wikidata.org/wiki/Q64746297,Q7425
,Person,November Ultra,https://www.wikidata.org/wiki/Q112747909,Q7426
,MusicGroup,One Direction,https://www.wikidata.org/wiki/Q146027,Q7427
,Person,P!nk,https://www.wikidata.org/wiki/Q160009,Q7428
,Person,Pankaj Udhas,https://www.wikidata.org/wiki/Q2723854,Q7429
,Person,Pharrell Williams,https://www.wikidata.org/wiki/Q14313,Q7430
,Person,Philip Glass,https://www.wikidata.org/wiki/Q189729,Q7431
,Person,Philippe Jaroussky,https://www.wikidata.org/wiki/Q441502,Q7432
,Person,Pomme,https://www.wikidata.org/wiki/Q42397176,Q7433
,MusicGroup,Queen,https://www.wikidata.org/wiki/Q15862,Q7434
,MusicGroup,Ricchi e Poveri,https://www.wikidata.org/wiki/Q541385,Q7435
,Person,Ricky Martin,https://www.wikidata.org/wiki/Q128799,Q7436
,Person,Rihanna,https://www.wikidata.org/wiki/Q36844,Q7437
,Person,Rimi Tomy,https://www.wikidata.org/wiki/Q2051143,Q7438
,Person,Ryuichi Sakamoto,https://www.wikidata.org/wiki/Q345494,Q7439
,Person,S. Janaki,https://www.wikidata.org/wiki/Q2051296,Q7440
,Person,S. P. Balasubrahmanyam,https://www.wikidata.org/wiki/Q2049688,Q7441
,MusicGroup,Savage Garden,https://www.wikidata.org/wiki/Q493710,Q7442
,Person,Selena Gomez,https://www.wikidata.org/wiki/Q83287,Q7443
,Person,Shaan,https://www.wikidata.org/wiki/Q3346448,Q7444
,Person,Shakira,https://www.wikidata.org/wiki/Q34424,Q7445
,Person,Shankar Mahadevan,https://www.wikidata.org/wiki/Q2049494,Q7446
,Person,Shreya Ghoshal,https://www.wikidata.org/wiki/Q2050788,Q7447
,Person,Shweta Mohan,https://www.wikidata.org/wiki/Q2050280,Q7448
,Person,Sia,https://www.wikidata.org/wiki/Q181484,Q7449
,Person,Sigur Rós,https://www.wikidata.org/wiki/Q483828,Q7450
,Person,Sinéad O'Connor,https://www.wikidata.org/wiki/Q193982,Q7451
,Person,Sonu Nigam,https://www.wikidata.org/wiki/Q470898,Q7452
,Person,Spice Girls,https://www.wikidata.org/wiki/Q55641,Q7453
,Person,Steve Reich,https://www.wikidata.org/wiki/Q262791,Q7454
,Person,Sting,https://www.wikidata.org/wiki/Q483203,Q7455
,Person,Stromae,https://www.wikidata.org/wiki/Q313453,Q7456
,Person,Sujatha Mohan,https://www.wikidata.org/wiki/Q2048352,Q7457
,Person,Sukhwinder Singh,https://www.wikidata.org/wiki/Q2344606,Q7458
,Person,Sunidhi Chauhan,https://www.wikidata.org/wiki/Q2722933,Q7459
,MusicGroup,The Beatles,https://www.wikidata.org/wiki/Q1299,Q7460
,MusicGroup,The Corrs,https://www.wikidata.org/wiki/Q192915,Q7461
,MusicGroup,The Piano Guys,https://www.wikidata.org/wiki/Q825336,Q7462
,Person,Thylacine,https://www.wikidata.org/wiki/Q59205384,Q7463
,Person,Timbaland,https://www.wikidata.org/wiki/Q179257,Q7464
,Person,Tracy Chapman,https://www.wikidata.org/wiki/Q187814,Q7465
,Person,Troye Sivan,https://www.wikidata.org/wiki/Q1362028,Q7466
,Person,Udit Narayan,https://www.wikidata.org/wiki/Q469818,Q7467
,Person,Usha Uthup,https://www.wikidata.org/wiki/Q3595144,Q7468
,Person,Vangelis,https://www.wikidata.org/wiki/Q153172,Q7469
,Person,Vidyasagar,https://www.wikidata.org/wiki/Q3595530,Q7470
,Person,Vineeth Sreenivasan,https://www.wikidata.org/wiki/Q2051781,Q7471
,Person,Vivica Genaux,https://www.wikidata.org/wiki/Q290295,Q7472
,Person,Whitney Houston,https://www.wikidata.org/wiki/Q34389,Q7473
,Person,Wolfgang Amadeus Mozart,https://www.wikidata.org/wiki/Q254,Q7474
,Person,Yann Tiersen,https://www.wikidata.org/wiki/Q157256,Q7475
,Person,Yanni,https://www.wikidata.org/wiki/Q234716,Q7476
,Person,Yo-Yo Ma,https://www.wikidata.org/wiki/Q234891,Q7477
