id,type,name,wikidata_url,local_qid
,TVSeries,The Andy Warhol Diaries,https://www.wikidata.org/wiki/Q111179823,Q6667
,Movie,Olly Alexander: Growing Up Gay,https://www.wikidata.org/wiki/Q112940146,Q6668
,Movie,Emma,https://www.wikidata.org/wiki/Q65091224,Q6669
,Movie,Castle in the Sky,https://www.wikidata.org/wiki/Q498577,Q6670
,Movie,My Neighbor Totoro,https://www.wikidata.org/wiki/Q39571,Q6671
,Movie,Kiki's Delivery Service,https://www.wikidata.org/wiki/Q196602,Q6672
,Movie,Howl's Moving Castle,https://www.wikidata.org/wiki/Q29011,Q6673
,Movie,The Wind Rises,https://www.wikidata.org/wiki/Q888131,Q6674
,Movie,Tales from Earthsea,https://www.wikidata.org/wiki/Q721737,Q6675
,Movie,Your Name Engraved Herein,https://www.wikidata.org/wiki/Q97160015,Q6676
,Movie,One of Us,https://www.wikidata.org/wiki/Q47011127,Q6677
,TVSeries,AJ and the Queen,https://www.wikidata.org/wiki/Q53855527,Q6678
,TVSeries,Rotten,https://www.wikidata.org/wiki/Q49638525,Q6679
,TVSeries,Lupin,https://www.wikidata.org/wiki/Q104082429,Q6680
,Movie,Disclosure: Trans Lives on Screen,https://www.wikidata.org/wiki/Q84366473,Q6681
,Movie,Have a Good Trip: Adventures in Psychedelics,https://www.wikidata.org/wiki/Q94139161,Q6682
,Movie,Eat Pray Love,https://www.wikidata.org/wiki/Q304030,Q6683
,Movie,Into the Inferno,https://www.wikidata.org/wiki/Q26821183,Q6684
,Movie,Hating Peter Tatchell,https://www.wikidata.org/wiki/Q107062555,Q6685
,Movie,13 Reasons Why,https://www.wikidata.org/wiki/Q18464203,Q6686
,Movie,Getting Curious with Jonathan Van Ness,https://www.wikidata.org/wiki/Q110663663,Q6687
,Movie,Bill Nye: Science Guy,https://www.wikidata.org/wiki/Q30687521,Q6688
,Movie,The Tribe,https://www.wikidata.org/wiki/Q50381419,Q6689
,Movie,ARQ,https://www.wikidata.org/wiki/Q26887323,Q6690
,Movie,Tau,https://www.wikidata.org/wiki/Q55166818,Q6691
,Movie,Annihilation,https://www.wikidata.org/wiki/Q25136228,Q6692
,Movie,The Game,https://www.wikidata.org/wiki/Q723187,Q6693
,Movie,The Adam Project,https://www.wikidata.org/wiki/Q104033835,Q6694
,Movie,Pray Away,https://www.wikidata.org/wiki/Q91031132,Q6695
,Movie,Homecoming,https://www.wikidata.org/wiki/Q63203885,Q6696
,Movie,La Haine,https://www.wikidata.org/wiki/Q466101,Q6697
,Movie,BigBug,https://www.wikidata.org/wiki/Q99982097,Q6698
,Movie,The Colors of Infinity,https://www.wikidata.org/wiki/Q109752628,Q6699
,Movie,Us,https://www.wikidata.org/wiki/Q56000996,Q6700
,Movie,Private Life,https://www.wikidata.org/wiki/Q47458956,Q6701
,Movie,Bhaag Beanie Bhaag,https://www.wikidata.org/wiki/Q102247319,Q6702
,Movie,Yes Day,https://www.wikidata.org/wiki/Q73536446,Q6703
,Movie,Mission Blue,https://www.wikidata.org/wiki/Q50414478,Q6704
,Movie,A Secret Love,https://www.wikidata.org/wiki/Q93486264,Q6705
,Movie,Return to Space,https://www.wikidata.org/wiki/Q111519766,Q6706
,Movie,Irreplaceable You,https://www.wikidata.org/wiki/Q29906267,Q6707
,Movie,Let it Snow,https://www.wikidata.org/wiki/Q22046828,Q6708
,Movie,Paradise Lost,https://www.wikidata.org/wiki/Q57260200,Q6709
,Movie,How It Ends,https://www.wikidata.org/wiki/Q48672409,Q6710
,TVSeries,Freud,https://www.wikidata.org/wiki/Q82332636,Q6711
,TVSeries,Alien Worlds,https://www.wikidata.org/wiki/Q103651531,Q6712
,TVSeries,Halston,https://www.wikidata.org/wiki/Q106602590,Q6713
,TVSeries,Unorthodox,https://www.wikidata.org/wiki/Q88759629,Q6714
,TVSeries,Shtisel,https://www.wikidata.org/wiki/Q6878481,Q6715
,TVSeries,(Un)well,https://www.wikidata.org/wiki/Q98077754,Q6716
,TVSeries,Chelsea Does,https://www.wikidata.org/wiki/Q22276633,Q6717
,TVSeries,The Barrier,https://www.wikidata.org/wiki/Q82025052,Q6718
,TVSeries,Never Have I Ever,https://www.wikidata.org/wiki/Q90138922,Q6719
,TVSeries,Follow this,https://www.wikidata.org/wiki/Q56244924,Q6720
,TVSeries,Behind Her Eyes,https://www.wikidata.org/wiki/Q65120235,Q6721
,TVSeries,Can You Hear Me?,https://www.wikidata.org/wiki/Q85173988,Q6722
,TVSeries,Real Humans,https://www.wikidata.org/wiki/Q2690883,Q6723
,TVSeries,"Love, Death & Robots",https://www.wikidata.org/wiki/Q61740435,Q6724
,TVSeries,Black Mirror,https://www.wikidata.org/wiki/Q558112,Q6725
,TVSeries,The Leftovers,https://www.wikidata.org/wiki/Q16468818,Q6726
,TVSeries,Feel Good,https://www.wikidata.org/wiki/Q88102054,Q6727
,TVSeries,Self Made: Inspired by the Life of Madam C. J. Walker,https://www.wikidata.org/wiki/Q56275326,Q6728
,TVSeries,What/If,https://www.wikidata.org/wiki/Q56199827,Q6729
,TVSeries,Son vrai visage,https://www.wikidata.org/wiki/Q62002493,Q6730
,TVSeries,Rita,https://www.wikidata.org/wiki/Q12333582,Q6731
,Movie,Blame!,https://www.wikidata.org/wiki/Q30609898,Q6732
,Movie,Le Garçon qui dompta le vent,https://www.wikidata.org/wiki/Q60738660,Q6733
,Movie,Mirage,https://www.wikidata.org/wiki/Q59707291,Q6734
,Movie,La Grande Classe,https://www.wikidata.org/wiki/Q67145035,Q6735
,Movie,I Care a Lot,https://www.wikidata.org/wiki/Q66688968,Q6736
,Movie,The Show Must Go On: The Queen + Adam Lambert Story,https://www.wikidata.org/wiki/Q96312387,Q6737
,Movie,Unicorn Store,https://www.wikidata.org/wiki/Q28222787,Q6738
,Movie,Constantine,https://www.wikidata.org/wiki/Q219150,Q6739
,Movie,Extinction,https://www.wikidata.org/wiki/Q33025803,Q6740
,Movie,Io,https://www.wikidata.org/wiki/Q55614175,Q6741
,Movie,The Death and Life of Marsha P. Johnson,https://www.wikidata.org/wiki/Q47458793,Q6742
,Movie,La Vie devant soi,https://www.wikidata.org/wiki/Q85807735,Q6743
,Movie,Et le ciel s'assombrit,https://www.wikidata.org/wiki/Q87126494,Q6744
,Movie,Flavors of Youth,https://www.wikidata.org/wiki/Q55223476,Q6745
,Movie,The Most Unknown,https://www.wikidata.org/wiki/Q110661353,Q6746
,Movie,Schindler's List,https://www.wikidata.org/wiki/Q483941,Q6747
,Movie,Arrival,https://www.wikidata.org/wiki/Q20382729,Q6748
,Movie,The Prestige,https://www.wikidata.org/wiki/Q46551,Q6749
,Movie,The Dark Knight,https://www.wikidata.org/wiki/Q163872,Q6750
,Movie,The Dark Knight Rises,https://www.wikidata.org/wiki/Q189330,Q6751
,Movie,At Eternity's Gate,https://www.wikidata.org/wiki/Q47006131,Q6752
,Movie,Fight Club,https://www.wikidata.org/wiki/Q190050,Q6753
,Movie,The Hand of God,https://www.wikidata.org/wiki/Q104856751,Q6754
,TVSeries,Uncoupled,https://www.wikidata.org/wiki/Q112417328,Q6755
,TVSeries,How to Change Your Mind,https://www.wikidata.org/wiki/Q113043841,Q7847
,Movie,The Social Network,https://www.wikidata.org/wiki/Q185888,Q7848
,Movie,The Theory of Everything,https://www.wikidata.org/wiki/Q15079318,Q7849
,Movie,Tokyo Godfathers,https://www.wikidata.org/wiki/Q917278,Q7850
,Movie,The Da Vinci Code,https://www.wikidata.org/wiki/Q160560,Q6396
,Movie,The House,https://www.wikidata.org/wiki/Q110407639,Q7851
,Movie,The Shawshank Redemption,https://www.wikidata.org/wiki/Q172241,Q6756
,Movie,Les Invisibles,https://www.wikidata.org/wiki/Q3233377,Q6757
,Movie,I Want to Eat Your Pancreas,https://www.wikidata.org/wiki/Q56421709,Q6758
,Movie,Space Sweepers,https://www.wikidata.org/wiki/Q65267432,Q6759
,Movie,Mary Queen of Scots,https://www.wikidata.org/wiki/Q37909408,Q6760
,Movie,Memoirs of a Geisha,https://www.wikidata.org/wiki/Q45839,Q6761
,Movie,Mother/Android,https://www.wikidata.org/wiki/Q104242404,Q6762
,Movie,Zoe,https://www.wikidata.org/wiki/Q39069732,Q6763
,Movie,Anon,https://www.wikidata.org/wiki/Q27957904,Q6764
,Movie,Jaws,https://www.wikidata.org/wiki/Q189505,Q6765
,Movie,Pachamama,https://www.wikidata.org/wiki/Q64513657,Q6766
,Movie,Gladiator,https://www.wikidata.org/wiki/Q128518,Q6767
,Movie,300,https://www.wikidata.org/wiki/Q131390,Q6768
,Movie,Contagion,https://www.wikidata.org/wiki/Q730888,Q6769
,Movie,The Green Mile,https://www.wikidata.org/wiki/Q208263,Q6770
,Movie,A Quiet Place,https://www.wikidata.org/wiki/Q39070473,Q6771
,Movie,Violet Evergarden: Eternity and the Auto Memories Doll,https://www.wikidata.org/wiki/Q73896191,Q6772
,Movie,The Unforgivable,https://www.wikidata.org/wiki/Q84366178,Q6773
,Movie,The Mitchells vs. The Machines,https://www.wikidata.org/wiki/Q54021143,Q6774
,TVSeries,Merlí: Sapere Aude,https://www.wikidata.org/wiki/Q72664024,Q6775
,Movie,Porco Rosso,https://www.wikidata.org/wiki/Q498375,Q6776
,Movie,Ponyo on the Cliff by the Sea,https://www.wikidata.org/wiki/Q236728,Q6777
,Movie,Four more years,https://www.wikidata.org/wiki/Q10500607,Q6778
,Movie,Mary and the Witch's Flower,https://www.wikidata.org/wiki/Q28021116,Q6779
,TVSeries,Lore,https://www.wikidata.org/wiki/Q38180788,Q6780
,TVSeries,Elite,https://www.wikidata.org/wiki/Q53000974,Q6781
,Movie,La Chute,https://www.wikidata.org/wiki/Q152857,Q6782
,Movie,Eternal Summer,https://www.wikidata.org/wiki/Q639927,Q6783
,Movie,Dance of the 41,https://www.wikidata.org/wiki/Q86659327,Q6784
,Movie,A Trip to Infinity,https://www.wikidata.org/wiki/Q114247107,Q6785
,Movie,The Tale of the Princess Kaguya,https://www.wikidata.org/wiki/Q888136,Q6786
,Movie,Is God a Number?,https://www.wikidata.org/wiki/Q114555489,Q6787
,Movie,AI Love You,https://www.wikidata.org/wiki/Q110746288,Q6788
,Movie,Al óleo,https://www.wikidata.org/wiki/Q110448208,Q6789
,Movie,iBoy,https://www.wikidata.org/wiki/Q28369630,Q6790
,Movie,Blasted,https://www.wikidata.org/wiki/Q114555677,Q6791
,Movie,Drifting Home,https://www.wikidata.org/wiki/Q109602795,Q6792
,Movie,Flatliners,https://www.wikidata.org/wiki/Q26252643,Q6793
,Movie,Brightburn,https://www.wikidata.org/wiki/Q59600666,Q6794
,Movie,Chappie,https://www.wikidata.org/wiki/Q15209986,Q6795
,Movie,Clouds Are Not Spheres,https://www.wikidata.org/wiki/Q114555841,Q6796
,Movie,Life Behind the Stars,https://www.wikidata.org/wiki/Q114555908,Q6797
,Movie,What We Wanted,https://www.wikidata.org/wiki/Q100232971,Q6798
,Movie,John Was Trying to Contact Aliens,https://www.wikidata.org/wiki/Q98546170,Q6799
,Movie,Paris Is Us,https://www.wikidata.org/wiki/Q60788224,Q6800
,Movie,Operation Finale,https://www.wikidata.org/wiki/Q42802162,Q6801
,Movie,Surviving Paradise: A Family Tale,https://www.wikidata.org/wiki/Q111811863,Q6802
,Movie,Flee,https://www.wikidata.org/wiki/Q76450209,Q6803
,Movie,Inside the Mind of a Cat,https://www.wikidata.org/wiki/Q114556062,Q6804
,Movie,The Curious Case of Benjamin Button,https://www.wikidata.org/wiki/Q183239,Q6805
,TVSeries,Curon,https://www.wikidata.org/wiki/Q96195601,Q6806
,TVSeries,Osmosis,https://www.wikidata.org/wiki/Q60774346,Q6807
,Movie,Black Holes: The Edge of All We Know,https://www.wikidata.org/wiki/Q114570604,Q6808
,Movie,A.X.L.,https://www.wikidata.org/wiki/Q55262219,Q6809
,Movie,The Price of Fairness,https://www.wikidata.org/wiki/Q30301513,Q6810
,Movie,Coral Reef,https://www.wikidata.org/wiki/Q114685146,Q6811
,Movie,Portugal's Mountains of Wonder,https://www.wikidata.org/wiki/Q114685226,Q6812
,Movie,Minions & More 1,https://www.wikidata.org/wiki/Q114700397,Q6813
,TVSeries,Exception,https://www.wikidata.org/wiki/Q114658322,Q6814
,TVSeries,The Playlist,https://www.wikidata.org/wiki/Q114357209,Q6815
,Movie,Dialogue Earth,https://www.wikidata.org/wiki/Q114927908,Q6816
,Movie,Dark Side of Light,https://www.wikidata.org/wiki/Q114928011,Q6817
,Movie,Flight of the Butterflies,https://www.wikidata.org/wiki/Q5459304,Q6818
,Movie,Behind the Curve,https://www.wikidata.org/wiki/Q61806618,Q6819
,TVSeries,Eden,https://www.wikidata.org/wiki/Q67931306,Q6820
,Movie,e-Life,https://www.wikidata.org/wiki/Q114937226,Q6821
,Movie,Bikes vs Cars,https://www.wikidata.org/wiki/Q19724840,Q6822
,Movie,The Lost Capital of Atlantis,https://www.wikidata.org/wiki/Q114937445,Q6823
,TVSeries,The Future Of,https://www.wikidata.org/wiki/Q114956987,Q6824
,Movie,Cycle,https://www.wikidata.org/wiki/Q114979514,Q6825
,TVSeries,Messiah,https://www.wikidata.org/wiki/Q48816399,Q6826
,Movie,Europe's Largest Desert,https://www.wikidata.org/wiki/Q115003016,Q6827
,Movie,Le Chant du loup,https://www.wikidata.org/wiki/Q60852120,Q6828
,Movie,Fifty Shades of Grey,https://www.wikidata.org/wiki/Q14566553,Q6829
,Movie,Fatherhood,https://www.wikidata.org/wiki/Q65032686,Q6830
,Movie,The Platform,https://www.wikidata.org/wiki/Q67628998,Q6831
,TVSeries,How to Become a Tyrant,https://www.wikidata.org/wiki/Q107469370,Q6833
,TVSeries,After Life,https://www.wikidata.org/wiki/Q55603316,Q6834
,TVSeries,You,https://www.wikidata.org/wiki/Q39082126,Q6835
,TVSeries,Workin' Moms,https://www.wikidata.org/wiki/Q28127287,Q6836
,TVSeries,Human: The World Within,https://www.wikidata.org/wiki/Q115004119,Q6837
,Movie,Oxygen,https://www.wikidata.org/wiki/Q97656981,Q6838
,Movie,The Internet's Own Boy: The Story of Aaron Swartz,https://www.wikidata.org/wiki/Q16997214,Q6839
,Movie,Waking the Titanic,https://www.wikidata.org/wiki/Q115172939,Q6840
,Movie,Solar System: The Secrets of the Universe,https://www.wikidata.org/wiki/Q115177526,Q6841
,Movie,Life in Outer Space,https://www.wikidata.org/wiki/Q115308255,Q6842
,Movie,Más allá de las estrellas,https://www.wikidata.org/wiki/Q115308336,Q6843
,TVSeries,Ancient Apocalypse,https://www.wikidata.org/wiki/Q115288192,Q6844
,Movie,Frida,https://www.wikidata.org/wiki/Q35738,Q6845
,TVSeries,Our Universe,https://www.wikidata.org/wiki/Q115205464,Q6846
,Movie,E.T. the Extra-Terrestrial,https://www.wikidata.org/wiki/Q11621,Q6847
,Movie,Stars and Stripes,https://www.wikidata.org/wiki/Q115472891,Q6848
,Movie,Life,https://www.wikidata.org/wiki/Q26465665,Q6849
,TVSeries,Harry and Meghan,https://www.wikidata.org/wiki/Q115543345,Q6850
,Movie,Guillermo del Toro's Pinocchio,https://www.wikidata.org/wiki/Q73895818,Q6851
,Movie,Guillermo del Toro's Pinocchio: Handcarved Cinema,https://www.wikidata.org/wiki/Q115662309,Q6852
,Movie,Pinocchio,https://www.wikidata.org/wiki/Q65126245,Q6853
,Movie,Troll,https://www.wikidata.org/wiki/Q113488508,Q6854
,TVSeries,Smiley,https://www.wikidata.org/wiki/Q115322312,Q6855
,Movie,Le Grand Partage,https://www.wikidata.org/wiki/Q21009141,Q6856
,Movie,Glass Onion: A Knives Out Mystery,https://www.wikidata.org/wiki/Q84712797,Q6857
,Movie,Machos alfa,https://www.wikidata.org/wiki/Q115929235,Q6858
,TVSeries,En place,https://www.wikidata.org/wiki/Q116283919,Q6859
,Movie,മണിച്ചിത്രത്താഴ്,https://www.wikidata.org/wiki/Q3530081,Q6860
,Movie,അച്ചുവിന്റെ അമ്മ,https://www.wikidata.org/wiki/Q4673955,Q6861
,Movie,സ്വപ്നക്കൂട്,https://www.wikidata.org/wiki/Q7653813,Q6862
,Movie,പ്രണയവർണ്ണങ്ങൾ,https://www.wikidata.org/wiki/Q7238330,Q6863
,Movie,മീശമാധവൻ,https://www.wikidata.org/wiki/Q6807719,Q6864
,Movie,ചാന്ത്‌പൊട്ട്,https://www.wikidata.org/wiki/Q5072660,Q6865
,Movie,രാവണപ്രഭു,https://www.wikidata.org/wiki/Q7278443,Q6866
,Movie,കിളിച്ചുണ്ടൻ മാമ്പഴം,https://www.wikidata.org/wiki/Q6406922,Q6867
,Movie,അകലെ,https://www.wikidata.org/wiki/Q3597158,Q6868
,Movie,ജേക്കബിന്റെ സ്വർഗ്ഗരാജ്യം,https://www.wikidata.org/wiki/Q21646532,Q6869
,Movie,നോട്ട്ബുക്ക്,https://www.wikidata.org/wiki/Q7062555,Q6870
,Movie,കപ്പേള,https://www.wikidata.org/wiki/Q85773566,Q6871
,Movie,ചന്ദ്രലേഖ,https://www.wikidata.org/wiki/Q5071396,Q6872
,Movie,നരസിംഹം,https://www.wikidata.org/wiki/Q6965425,Q6873
,Movie,കിലുക്കം,https://www.wikidata.org/wiki/Q6408256,Q6874
,Movie,ആകാശദൂത്,https://www.wikidata.org/wiki/Q4700339,Q6875
,Movie,ആകാശഗംഗ,https://www.wikidata.org/wiki/Q13110207,Q6876
,Movie,ക്ലാസ്‌മേറ്റ്സ്,https://www.wikidata.org/wiki/Q5128454,Q7068
,Movie,4 ദ പീപ്പിൾ,https://www.wikidata.org/wiki/Q4639123,Q6878
,Movie,നാടോടിക്കാറ്റ്,https://www.wikidata.org/wiki/Q6957926,Q6879
,Movie,ചോക്ലേറ്റ്,https://www.wikidata.org/wiki/Q5103593,Q6880
,Movie,ദൃശ്യം,https://www.wikidata.org/wiki/Q15401703,Q6881
,Movie,ഈ പറക്കും തളിക,https://www.wikidata.org/wiki/Q5347008,Q6882
,Movie,സമ്മർ ഇൻ ബത്‌ലഹേം,https://www.wikidata.org/wiki/Q7637488,Q6883
,Movie,കുഞ്ഞിക്കൂനൻ,https://www.wikidata.org/wiki/Q6444825,Q6884
,Movie,നന്ദനം,https://www.wikidata.org/wiki/Q13112801,Q6885
,Movie,യാത്രക്കാരുടെ ശ്രദ്ധയ്ക്ക്,https://www.wikidata.org/wiki/Q8050231,Q6886
,Movie,മനസ്സിനക്കരെ,https://www.wikidata.org/wiki/Q13113858,Q6887
,Movie,அந்நியன்,https://www.wikidata.org/wiki/Q2851751,Q6888
,Movie,கஜினி,https://www.wikidata.org/wiki/Q2737320,Q6889
,Movie,ஜீன்ஸ்,https://www.wikidata.org/wiki/Q3176321,Q6890
,Movie,My Brother…Nikhil,https://www.wikidata.org/wiki/Q3100928,Q6891
,Movie,दोस्ताना,https://www.wikidata.org/wiki/Q1251094,Q6892
,Movie,इंग्लिश विंग्लिश,https://www.wikidata.org/wiki/Q3054309,Q6893
,Movie,एक लड़की को देखा तो ऐसा लगा,https://www.wikidata.org/wiki/Q48671694,Q6894
