key,en,fr,ml,pa,hi,pt,es,it
travel,en/photography,fr/voyages,ml/യാത്രകൾ,pa/ਯਾਤਰਾ,hi/यात्रा,pt/viagens,es/viajes,it/viaggi
travel_index,en/travel,fr/voyages,ml/യാത്രകൾ,pa/ਯਾਤਰਾ,hi/यात्रा,pt/viagens,es/viajes,it/viaggi
